"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@babel/helper-create-class-features-plugin","7.6.0","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-create-class-features-plugin"
"nodejs","@babel/helper-define-map","7.8.3","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-define-map"
"nodejs","@babel/helper-replace-supers","7.8.6","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-replace-supers"
"nodejs","@babel/plugin-proposal-class-properties","7.5.5","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fplugin-proposal-class-properties"
"nodejs","@babel/plugin-transform-classes","7.9.5","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fplugin-transform-classes"
"nodejs","@babel/runtime","7.6.3","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
"nodejs","@types/jquery","3.5.9","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fjquery"
"nodejs","@types/jquery.blockui","0.0.28","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fjquery.blockui"
"nodejs","@types/jqueryui","1.12.16","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fjqueryui"
"nodejs","@types/sizzle","2.3.3","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fsizzle"
"nodejs","ajv","6.12.6","MIT","Copyright (c) 2015-2021 Evgeny Poberezkin","https://www.npmjs.com/package/ajv"
"nodejs","ajv-errors","1.0.1","MIT","Copyright (c) 2017 Evgeny Poberezkin","https://www.npmjs.com/package/ajv-errors"
"nodejs","ansi-colors","3.2.4","MIT","Copyright (c) 2015-present, Brian Woodward.","https://www.npmjs.com/package/ansi-colors"
"nodejs","bluebird","3.7.0","MIT","Copyright (c) 2013-2018 Petka Antonov","https://www.npmjs.com/package/bluebird"
"nodejs","bootstrap","4.3.1","MIT","Copyright (c) 2011-2023 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","cacache","12.0.3","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/cacache"
"nodejs","concat-stream","1.6.2","MIT","Copyright (c) 2013 Max Ogden","https://www.npmjs.com/package/concat-stream"
"nodejs","copy-concurrently","1.0.5","ISC","Copyright (c) 2017, Rebecca Turner <me@re-becca.org>","https://www.npmjs.com/package/copy-concurrently"
"nodejs","copy-webpack-plugin","5.1.1","MIT","Copyright JS Foundation and other contributors","https://www.npmjs.com/package/copy-webpack-plugin"
"nodejs","core-js","3.6.5","MIT","Copyright (c) 2014-2023 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","cyclist","1.0.1","MIT","Copyright (c) 2015 Mathias Buus","https://www.npmjs.com/package/cyclist"
"nodejs","datatables","1.10.18","MIT","Copyright (c) 2008-present, SpryMedia Limited","https://www.npmjs.com/package/datatables"
"nodejs","datatables-bootstrap","0.0.1","MIT","2010-2015 SpryMedia Limited","https://www.npmjs.com/package/datatables-bootstrap"
"nodejs","downloadjs","1.4.7","MIT","Copyright (c) 2016 dandavis","https://www.npmjs.com/package/downloadjs"
"nodejs","duplexify","3.7.1","MIT","Copyright (c) 2014 Mathias Buus","https://www.npmjs.com/package/duplexify"
"nodejs","encoding","0.1.12","MIT","Copyright (c) 2012-2014 Andris Reinman","https://www.npmjs.com/package/encoding"
"nodejs","end-of-stream","1.4.4","MIT","Copyright (c) 2014 Mathias Buus","https://www.npmjs.com/package/end-of-stream"
"nodejs","es6-promise","4.2.8","MIT","Copyright (c) 2014 Yehuda Katz, Tom Dale, Stefan Penner and contributors","https://www.npmjs.com/package/es6-promise"
"nodejs","fast-json-stable-stringify","2.0.0","MIT","Copyright (c) 2017 Evgeny PoberezkinCopyright (c) 2013 James Halliday","https://www.npmjs.com/package/fast-json-stable-stringify"
"nodejs","figgy-pudding","3.5.1","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/figgy-pudding"
"nodejs","file-loader","5.0.2","MIT","Copyright JS Foundation and other contributors","https://www.npmjs.com/package/file-loader"
"nodejs","flush-write-stream","1.1.1","MIT","Copyright (c) 2015 Mathias Buus","https://www.npmjs.com/package/flush-write-stream"
"nodejs","font-awesome","4.7.0","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/font-awesome"
