"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","antlr:antlr","2.7.6","BSD,PUBDOM","","https://mvnrepository.com/artifact/antlr/antlr"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","asm:asm","3.2","BSD-3-Clause-INRIA","","https://mvnrepository.com/artifact/asm/asm"
"java","axis:axis-wsdl4j","1.5.1","GPL","","https://mvnrepository.com/artifact/axis/axis-wsdl4j"
"java","com.beust:jcommander","1.48","Apache-2.0","Copyright 2012, Cedric Beust","https://mvnrepository.com/artifact/com.beust/jcommander"
"java","com.google.code.findbugs:jsr305","1.3.9","Apache-2.0","","https://mvnrepository.com/artifact/com.google.code.findbugs/jsr305"
"java","com.google.code.gson:gson","2.2.2","Apache-2.0","","https://mvnrepository.com/artifact/com.google.code.gson/gson"
"java","com.google.guava:guava","12.0","Apache-2.0","","https://mvnrepository.com/artifact/com.google.guava/guava"
"java","com.google.inject:guice","2.0","Apache-2.0","","https://mvnrepository.com/artifact/com.google.inject/guice"
"java","com.google.zxing:core","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/com.google.zxing/core"
"java","com.google.zxing:javase","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/com.google.zxing/javase"
"java","com.googlecode.sli4j:sli4j-core","2.0","Apache-2.0","","https://mvnrepository.com/artifact/com.googlecode.sli4j/sli4j-core"
"java","com.googlecode.sli4j:sli4j-slf4j-log4j","2.0","Apache-2.0","","https://mvnrepository.com/artifact/com.googlecode.sli4j/sli4j-slf4j-log4j"
"java","com.googlecode:reflectasm","1.01","BSD-2-Clause","","https://mvnrepository.com/artifact/com.googlecode/reflectasm"
"java","com.h2database:h2","1.3.165","MPL2-or-EPL1-H2","","https://mvnrepository.com/artifact/com.h2database/h2"
"java","com.itextpdf:itextpdf","5.5.4","AGPL-3.0","","https://mvnrepository.com/artifact/com.itextpdf/itextpdf"
"java","com.jcraft:jsch","0.1.53","BSD-JCRAFT","","https://mvnrepository.com/artifact/com.jcraft/jsch"
"java","com.mchange:c3p0","0.9.5.1","EPL-1.0,LGPL-2.1-only","Copyright (C) 1991, 1999 Free Software Foundation, Inc.51 Franklin Street, Fifth Floor, Boston, MA  021101301  USA","https://mvnrepository.com/artifact/com.mchange/c3p0"
"java","com.mchange:mchange-commons-java","0.2.10","EPL-1.0,LGPL-2.1-only","Copyright (C) 1991, 1999 Free Software Foundation, Inc.51 Franklin Street, Fifth Floor, Boston, MA  021101301  USA","https://mvnrepository.com/artifact/com.mchange/mchange-commons-java"
"java","com.oracle:ojdbc6","11.1.0","PROPRIETARY","Oracle",""
"java","com.sun.istack:istack-commons-runtime","2.4","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.istack/istack-commons-runtime"
"java","com.sun.jersey.contribs:jersey-multipart","1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.jersey.contribs/jersey-multipart"
"java","com.sun.jersey.ri:jax-rs-ri","1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.jersey.ri/jax-rs-ri"
"java","com.sun.jersey:jersey-bundle","1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.jersey/jersey-bundle"
"java","com.sun.jersey:jersey-core","1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.jersey/jersey-core"
"java","com.sun.jersey:jersey-server","1.11","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.jersey/jersey-server"
"java","com.sun.mail:javax.mail","1.5.1","CDDL-1.1","",""
"java","com.sun.xml.bind:jaxb-impl","2.2.5-b10","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.bind:jaxb-xjc","2.2.5-b10","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-xjc"
"java","com.sun.xml.messaging.saaj:saaj-impl","1.3.18","CDDL-1.0,Artistic-1.0","","https://mvnrepository.com/artifact/com.sun.xml.messaging.saaj/saaj-impl"
"java","com.sun.xml.stream.buffer:streambuffer","1.4","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.stream.buffer/streambuffer"
"java","com.sun.xml.txw2:txw2","20110809","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.txw2/txw2"
"java","com.sun.xml.ws:jaxws-rt","2.2.7-promoted-b13","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.ws/jaxws-rt"
"java","com.sun.xml.ws:policy","2.3.1","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.ws/policy"
"java","commons-beanutils:commons-beanutils","1.9.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-beanutils:commons-beanutils-core","1.8.3","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-core"
"java","commons-codec:commons-codec","1.11","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-collections:commons-collections","3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-configuration:commons-configuration","1.9","Apache-2.0","","https://mvnrepository.com/artifact/commons-configuration/commons-configuration"
"java","commons-digester:commons-digester","1.8.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-digester/commons-digester"
"java","commons-discovery:commons-discovery","0.2","Apache","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-fileupload:commons-fileupload","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-fileupload/commons-fileupload"
"java","commons-httpclient:commons-httpclient","3.1","Apache-1.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io:commons-io","2.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-io/commons-io"
"java","commons-lang:commons-lang","2.6","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-net:commons-net","3.6","Apache-2.0","","https://mvnrepository.com/artifact/commons-net/commons-net"
"java","commons-validator:commons-validator","1.5.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-validator/commons-validator"
"java","dom4j:dom4j","1.6.1","BSD","","https://mvnrepository.com/artifact/dom4j/dom4j"
"java","eng-dbpoolmanager:eng-dbpoolmanager","2.0","GPL-3.0-or-later,Apache-2.0","",""
"java","io.swagger:swagger-annotations","1.5.3","Apache-2.0","","https://mvnrepository.com/artifact/io.swagger/swagger-annotations"
"java","it.eng.auriga:AurigaBusinessClient","0.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.auriga:AurigaBusinessModule","0.0.1","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.auriga:AurigaXmlBeans","0.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.auriga:FileManager","0.0.1","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.auriga:StiloAggiungiMarcaTemporaleJob","0.0.1","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.auriga:StiloJobManager","0.0.1","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.auriga:StorageUtil","0.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility.fileoperation:clientFileoperationWS","1.3.2","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:annotation-module","1.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:core-module","1.0.5","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:FileUtility","1.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:ftp4j","1.7.2","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:itextpdf","5.5.4","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:jaxb-api","2.1.9.v200905050702_orbit","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:oracle-ridc-client","10g","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:oracle-thin-extras","0.9.5","GPL-3.0-or-later,Apache-2.0","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:SezioneCache","1.0.5","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:sharePointUtility","1.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","it.eng.utility:SpringUtility","1.0.1","GPL-3.0-or-later,EUPL-1.2","Engineering Ingegneria Informatica S.p.A.",""
"java","javassist:javassist","3.12.1.GA","LGPL-2.1-only,MPL-1.1","","https://mvnrepository.com/artifact/javassist/javassist"
"java","javax.activation:activation","1.1","CDDL-1.0","","https://mvnrepository.com/artifact/javax.activation/activation"
"java","javax.annotation:jsr250-api","1.0","CDDL-1.0","","https://mvnrepository.com/artifact/javax.annotation/jsr250-api"
"java","javax.batch:javax.batch-api","1.0.1","Apache-2.0","",""
"java","javax.enterprise:cdi-api","1.0","Apache-2.0","","https://mvnrepository.com/artifact/javax.enterprise/cdi-api"
"java","javax.inject:javax.inject","1","Apache-2.0","",""
"java","javax.mail:mail","1.4.7","CDDL-1.1,CDDL-1.0","","https://mvnrepository.com/artifact/javax.mail/mail"
"java","javax.servlet:servlet-api","2.3","GPL-2.0","","https://mvnrepository.com/artifact/javax.servlet/servlet-api"
"java","javax.transaction:jta","1.1","CDDL-1.1","","https://mvnrepository.com/artifact/javax.transaction/jta"
"java","javax.ws.rs:jsr311-api","1.1.1","CDDL-1.0","","https://mvnrepository.com/artifact/javax.ws.rs/jsr311-api"
"java","javax.xml.bind:jaxb-api","2.2.4","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/jaxb-api"
"java","javax.xml.soap:saaj-api","1.3.4","CNRI-Python-GPL-Compatible,CDDL-1.1,CDDL-1.0","","https://mvnrepository.com/artifact/javax.xml.soap/saaj-api"
"java","javax.xml.ws:jaxws-api","2.2.8","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.ws/jaxws-api"
"java","javax.xml:jaxrpc-api","1.1","CDDL","","https://mvnrepository.com/artifact/javax.xml/jaxrpc-api"
"java","joda-time:joda-time","2.1","Apache-2.0","Copyright 20012010 Stephen Colebourne","https://mvnrepository.com/artifact/joda-time/joda-time"
"java","junit:junit","4.12","EPL-1.0","Copyright 2013 LinkedIn Corp. All rights reserved.","https://mvnrepository.com/artifact/junit/junit"
"java","log4j:log4j","1.2.16","Apache-2.0","","https://mvnrepository.com/artifact/log4j/log4j"
"java","net.lingala.zip4j:zip4j","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/net.lingala.zip4j/zip4j"
"java","net.rootdev:java-rdfa","0.4.2","BSD","Copyright (c) 2009 Sun Microsystems, Inc.901 San Antonio Road, Palo Alto, CA 94303 USA.All rights reserved.","https://mvnrepository.com/artifact/net.rootdev/java-rdfa"
"java","org.apache.axis:axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.axis/axis"
"java","org.apache.axis:axis-jaxrpc","1.4","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.axis/axis-jaxrpc"
"java","org.apache.axis:axis-saaj","1.4","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.axis/axis-saaj"
"java","org.apache.commons:commons-compress","1.18","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-compress"
"java","org.apache.commons:commons-lang3","3.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-lang3"
"java","org.apache.commons:commons-pool2","2.4.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-pool2"
"java","org.apache.httpcomponents:httpclient","4.1.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient"
"java","org.apache.httpcomponents:httpcore","4.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpcore"
"java","org.apache.jena:jena-core","2.11.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.jena/jena-core"
"java","org.apache.jena:jena-iri","1.0.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.jena/jena-iri"
"java","org.apache.logging.log4j:log4j-api","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-api"
"java","org.apache.logging.log4j:log4j-core","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-core"
"java","org.apache.logging.log4j:log4j-slf4j-impl","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-slf4j-impl"
"java","org.apache.odftoolkit:odfdom-java","0.8.11-incubating","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.odftoolkit/odfdom-java"
"java","org.apache.odftoolkit:taglets","0.8.11-incubating","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.odftoolkit/taglets"
"java","org.apache.pdfbox:fontbox","2.0.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.pdfbox/fontbox"
"java","org.apache.pdfbox:pdfbox","2.0.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.pdfbox/pdfbox"
"java","org.bouncycastle:bcmail-jdk15on","1.48","CDDL+GPL","","https://mvnrepository.com/artifact/org.bouncycastle/bcmail-jdk15on"
"java","org.bouncycastle:bcpkix-jdk15on","1.48","CDDL+GPL","","https://mvnrepository.com/artifact/org.bouncycastle/bcpkix-jdk15on"
"java","org.bouncycastle:bcprov-jdk15on","1.48","CDDL+GPL","","https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk15on"
"java","org.codehaus.plexus:plexus-utils","1.5.6","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.plexus/plexus-utils"
"java","org.codehaus.woodstox:stax2-api","3.1.1","BSD","","https://mvnrepository.com/artifact/org.codehaus.woodstox/stax2-api"
"java","org.codehaus.woodstox:woodstox-core-asl","4.1.2","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.woodstox/woodstox-core-asl"
"java","org.dbunit:dbunit","2.4.8","LGPL-2.1-only","","https://mvnrepository.com/artifact/org.dbunit/dbunit"
